,year,month,time,CGR,tmp_cru,pre_cru,pre_gpcc,tws_grace,nina34,nina3,nina4,eruption
2004-02-01,2004,2,2004-02-01,0.47940093833132824,0.08506790696744262,0.6313355805150525,-1.0929665507857358,-9.461877536081046,0.2677903448983291,0.2785180295568877,0.36468637072855453,0
2004-03-01,2004,3,2004-03-01,0.8792249686024133,0.09815873817560744,0.5440419683314315,-0.8545980634836439,-8.564577995949847,0.24762690637400148,0.27312755111147496,0.3223532713347037,0
2004-04-01,2004,4,2004-04-01,1.3000110340039392,0.09238727669474553,0.6599034680086613,-0.6555967163256035,-7.809419552082567,0.264952465207566,0.30354309028616305,0.3016414517155983,0
2004-05-01,2004,5,2004-05-01,0.01696364722944954,0.06462227683658897,1.4385544924679436,0.16209593144190926,-6.887643203943398,0.3206172483406421,0.34563839533795093,0.31428648543362014,0
2004-06-01,2004,6,2004-06-01,-1.2875536624385078,0.03463848529976776,0.4535310248429241,-0.3052923677209883,-5.986723761889724,0.3554433518905023,0.3727198224211099,0.3235758126456356,0
2004-07-01,2004,7,2004-07-01,-2.6558042742905186,0.0291091623508955,0.7290181008006955,-0.39865904414330905,-5.507932144918565,0.3786086614849833,0.36064771241799803,0.3420552774124066,0
2004-08-01,2004,8,2004-08-01,-0.8931248768244271,0.04030021657675231,-0.03976469427064,-1.3519324835702025,-5.102143261991097,0.42010197576287134,0.35856170590529796,0.3713457273604446,0
2004-09-01,2004,9,2004-09-01,-1.9846471262147731,0.043295238355320675,-0.7000809371408587,-1.9010082991325508,-5.033626011880627,0.46492890062162884,0.3831419820721734,0.4131367398622482,0
2004-10-01,2004,10,2004-10-01,-1.499802469654295,0.04371215557570468,-1.1671418959523305,-2.4553805127988784,-5.164828338028617,0.49059500688827756,0.3944021030157116,0.4407844874252814,0
2004-11-01,2004,11,2004-11-01,-1.1429279174034734,0.037344120688545174,-1.2122137743747012,-2.422335848233099,-5.095940296853918,0.5179224809563086,0.39314830385430233,0.4725765935727597,0
2004-12-01,2004,12,2004-12-01,-1.1053863336072318,0.05280632107669894,-1.1670486092909225,-2.960214803230696,-4.982152043374065,0.5435891221190824,0.38607438313292053,0.50855872546345,0
2005-01-01,2005,1,2005-01-01,-1.2171149370349394,0.03553032256355629,-2.3601742199024636,-3.5829972962818473,-5.059307118491629,0.5759171533904706,0.37731986294835584,0.5453519110871416,0
2005-02-01,2005,2,2005-02-01,-0.3703451320687443,0.08599380397257139,-4.191349977596014,-5.832257971616736,-5.933527314579516,0.5865788054668868,0.34439831877521937,0.5688123079182608,0
2005-03-01,2005,3,2005-03-01,-0.3111705420445551,0.11064163766678214,-4.105823830904425,-5.948187447047077,-7.004482444901994,0.613923988576387,0.32735060092659707,0.6106748531777787,0
2005-04-01,2005,4,2005-04-01,-0.20990374981695026,0.1315373380740657,-4.411468437159059,-5.958164879360322,-7.952254811286784,0.6295861981032271,0.3285950620058714,0.6374696148219843,0
2005-05-01,2005,5,2005-05-01,-0.42796964466491993,0.14398120572187526,-4.959079173404591,-6.8505905504327025,-8.993498161062409,0.6494208793827113,0.3790194882558834,0.6517876407774794,0
2005-06-01,2005,6,2005-06-01,1.0364940514290994,0.18019188457013177,-4.549568238027589,-6.610070033855336,-10.2802376962358,0.641750349471327,0.40526329324619026,0.6469167992600573,0
2005-07-01,2005,7,2005-07-01,2.6289251683970507,0.19867282015851911,-4.744104146177761,-6.5499725544821645,-11.134167089711971,0.5815856155204613,0.41485376573471044,0.6020691879403992,0
2005-08-01,2005,8,2005-08-01,1.516085785626013,0.2161726556755932,-4.449701253499928,-5.93063529372734,-12.063260250351243,0.5139157011755658,0.40943027857079256,0.5505327447648254,0
2005-09-01,2005,9,2005-09-01,0.8718448471616088,0.2247134908936366,-3.9491478576336996,-5.585427597854885,-12.849125706046161,0.44291277573420373,0.364839819423683,0.4948301780631065,0
2005-10-01,2005,10,2005-10-01,1.0797714973789905,0.22206000909883009,-3.2192214468930818,-4.160266094969659,-13.084093257723637,0.3769156342106733,0.29109608199097187,0.44331746038474173,0
2005-11-01,2005,11,2005-11-01,0.32902752148885595,0.20765368720991859,-2.9219525590370172,-3.5717951791750053,-13.2574600085258,0.27258002956535654,0.1440050482143914,0.3676159683046163,0
2005-12-01,2005,12,2005-12-01,1.2185512494317994,0.20098863817321855,-1.6704192441527983,-2.1196553347077254,-12.861011456158852,0.1340835343797071,-0.01557256140648449,0.27277096176603366,0
2006-01-01,2006,1,2006-01-01,1.8949042728121657,0.2227456735855078,-0.760316422335225,-0.8919474577581136,-11.958016868618987,0.0030819448845660173,-0.11016413405263746,0.15707055415461793,0
2006-02-01,2006,2,2006-02-01,0.9098557870271357,0.2088185603622629,0.39933162705756325,0.9995917325721598,-10.864660427058745,-0.0829192875244703,-0.13225596698732783,0.04470403524555369,0
2006-03-01,2006,3,2006-03-01,-0.330286067845164,0.17615583453829542,1.619218376173959,2.3400869033743166,-9.563107944840752,-0.17973729235035454,-0.17264020453761864,-0.05592760960793747,0
2006-04-01,2006,4,2006-04-01,0.5377626081481881,0.1234721004277553,2.9190205353828067,3.3748413769218724,-7.637216543258473,-0.22823782655466165,-0.20389917551784809,-0.11995973033813902,0
2006-05-01,2006,5,2006-05-01,1.0864792789964375,0.0822440720147335,3.761012826891136,4.104253070178436,-5.592912786902938,-0.26089927605196456,-0.22431130743281696,-0.14980210659329588,0
2006-06-01,2006,6,2006-06-01,-0.4949749315692218,0.057432318323425297,3.8385933604932627,4.447484758554382,-3.5728330302231295,-0.2643990653864662,-0.2305707348674288,-0.15966645018146253,0
2006-07-01,2006,7,2006-07-01,-0.755661029983036,0.05996360979681914,3.8854950266639916,4.307225961095602,-2.203458238588323,-0.24455978407420864,-0.2384832943536285,-0.13450774791968198,0
2006-08-01,2006,8,2006-08-01,-0.8674180773135491,0.04447135344003067,4.646239925096164,4.668103297208227,-0.840197010382862,-0.21472547557640764,-0.22140981639970223,-0.09520430701268276,0
