ACCESS-ESM1-5,CanESM5,CESM2,MPI-ESM1-2-LR
26.065375486053366,24.818794775709236,25.060365140174262,23.24542679399913
25.57828004802478,24.93289469291801,25.355739218678682,23.23486963981543
25.415060082669974,25.01542185926527,25.703816930298117,23.21335776648014
25.16573418423362,24.982115663135914,26.186780216137908,23.335723247512146
24.943885238993193,25.511813471262453,26.493272092660607,23.968362498832704
24.524360786889584,25.836072944791702,27.13546998284729,24.856037518437386
25.303218663772704,26.49586124481317,28.011386179990932,25.50553235800685
25.74729856566558,26.752014602870805,28.35312237585337,26.21701022866077
26.246335618202497,26.31593247503293,28.27160402522651,26.227737800035417
26.372533130594817,26.183779995037664,27.768179380305668,25.36556086408962
26.141093254674544,25.745985583919854,26.734583780926716,24.700498457461254
25.688871541378578,25.398591879152725,25.973229027739162,24.92991339275165
25.459433092333796,25.58790349616883,25.66502537566315,24.972925745185762
25.334039028753537,25.558348402370633,25.55156518049638,25.199975902509806
25.246480066890648,25.585446311389926,25.71286999725895,25.206702834232914
24.998900768214718,25.491874477937053,25.92245336931218,25.1898526043976
25.115846862797188,25.202197888329845,26.252192085569906,25.670448169552156
25.771626993050074,25.910730442606567,26.79397725442728,26.230074632263
26.02553575511746,27.07971545418578,26.59904031581245,26.877700551084065
26.380471739310313,26.8328581678036,26.77886118407078,27.046873824184882
26.749450927070978,26.315574596435965,26.806459989673456,26.648101521642765
27.038493036904526,25.98893771622801,26.37895558691052,25.30350742010989
27.11066031937156,25.647813052975792,25.419663829187424,24.942304749321167
26.989370845403105,25.49347520974462,24.450343474252673,24.780572985655105
26.923849064461702,25.63316552259582,24.415689948830384,25.2342991406761
26.856699994620403,25.73262818261466,24.776940701410748,25.002246541134674
26.627935978348397,25.76915470614089,24.909814934685336,25.020454538541486
26.42761331545461,25.67877434862927,25.022145730918737,25.21310273133617
26.483482243442893,25.529079194342053,25.740386238191146,25.74344876897043
26.572086508065848,25.810211536991975,26.218279886846123,26.00291305829317
26.71757957756605,25.94593671958081,26.971865746123505,26.33242281443726
27.15191617273885,26.230688299423846,27.23085686405875,26.87070638174888
27.65069922532098,26.130866174245774,27.388882582485063,26.160463302099245
27.772377538259935,25.789980717317754,27.402991239526436,25.0429334128171
27.52036003153045,25.430686697600308,27.128217230491963,24.40640507548789
27.13364689325112,25.2260396161653,27.033905850902407,24.43032685761278
26.647520403781865,25.42765288549364,27.30872161103087,24.859226643127485
26.266094929347936,25.728731380334708,27.70424481751633,24.81081382584223
26.20221766716921,25.66447505734932,27.85124267559246,24.830876085941856
26.310221104268773,25.7181750070412,27.987331802872106,25.142098297816986
26.27433171239275,25.531042327960453,28.417824624594452,25.50637197938828
25.44147585989886,25.523774479640306,28.78176480805286,26.153368763310308
25.862676043477464,26.030750852682917,29.231442420278857,26.815535963457087
26.9868006413634,26.206937751924833,29.535744320951448,27.155041136087807
27.200490049609474,26.09102516655892,29.51702492386199,26.45719896044511
27.155871098491655,25.842506724570782,28.752229929977524,25.535595124061597
26.911900453212322,25.683726367652447,28.20648577164772,24.702597765222144
26.668658104335343,25.556102790777235,28.194484606766945,24.719302440680295
26.575734549517616,25.657358895719323,28.27161819248659,24.61519145346267
26.565508226307244,25.711928000436444,28.81896105304594,24.76146330954077
26.398086822030482,25.777611701615236,29.228954397802696,24.706788016168773
26.57176796419302,26.17687887887251,29.43336744809395,24.910781686836057
27.010681931998175,26.566711433723743,29.590300841366886,25.2936096777562
27.18198794662292,26.472795569235203,29.51537602818692,26.143184145321722
26.963411676164736,26.846333490826794,29.53188720907545,27.387672604343376
27.1356598522272,26.95676953612923,29.510553988607196,27.800781160229718
27.729015720908635,26.438630819138037,28.49104423646918,26.842160457859695
27.8825964297742,25.596782799294612,26.70288784572456,25.98773545490519
27.827218062376247,25.040268828115426,24.835631953339636,25.382288460644467
27.498197164833744,25.092530664871436,24.39471101824186,25.50888816793598
27.192144912368363,25.230464200727866,23.738876110002312,25.89762047477603
26.856755981022722,25.140431287287857,23.607083391174648,25.742545308754345
26.76144218991945,24.946498296113425,23.818014609991636,26.13641346560421
26.881207818580705,24.663835776212007,24.014659949262924,26.11807134581444
27.161282385680448,24.349689944593948,24.632284433538523,26.019716543226387
27.015484324487616,24.584576954815567,25.535877108991315,26.31277375428808
26.859308703982187,25.03715270203207,26.131928929005678,27.32565077935388
27.56434310737578,25.384000359556797,26.772019087278046,27.042717075255705
28.215771494153227,25.144203895725074,27.053497671358418,26.393993855721053
28.263942883770866,24.88725867050873,26.901762976072753,25.38422589727502
27.78164345569853,24.53993819681894,26.74780318128744,24.42116836883533
27.164276299800783,24.436757583520283,26.23816333552305,24.20171150195643
26.476005093561163,24.539445629706115,26.109021301006734,24.2486733424343
26.17110019091955,24.69937307517938,26.401673401010026,23.97731347587475
26.08979965569805,24.879853482199458,26.747107675919832,23.939147442380385
25.881398504734058,25.285622455681004,26.962147523499997,24.280175565227456
25.915334385268505,25.793696223818525,27.20839614930399,24.75930998173118
26.060488928615953,25.997557616455605,27.60527190630951,25.454348142780205
25.87315122502078,26.52544338675425,28.1515053938448,25.8151587175188
26.322289457399908,26.980685383534187,28.36047225184624,25.792836282487823
26.84231542428993,26.80311270501431,28.0852084284977,25.673551254145885
26.861689646724415,26.596975691241468,27.67089233344126,25.43066301623532
26.345966418521535,26.250813150009925,27.017880898909645,24.97593141759046
25.83873507938749,26.013136460633792,26.11766961439616,24.86425693764887
25.55899559693994,25.997982765305085,25.87400700261042,24.75606406333598
25.775936688210994,26.285503186851592,25.981282726705754,24.64719120678496
25.85043351442864,26.147909922434707,26.192813788511113,24.607079435259337
25.575900492188627,26.301722948647956,26.102028246707988,24.709042924930024
25.435604593900074,26.40099071553442,26.744897259518183,25.160541164793496
25.884368522519328,26.58077554887798,27.15885114850729,25.618789280036484
26.404216695955352,27.309477360408607,27.751807150313784,26.286179108941205
26.65343456512883,27.306520900193775,27.843694567555083,26.863767121210053
26.9477363061044,27.016066991052007,27.66384975127538,26.260341037629853
27.007097595430793,26.603774061885602,27.05276613533006,25.41068676963711
26.82061140412096,25.97562003608269,26.20752706112331,24.99315575030132
26.54329984876254,25.602622496355234,25.610931735355553,24.821027136462384
26.36060694399202,25.73154706388135,25.52377263583498,24.82499116748948
26.05854973955882,25.746831350087028,25.639470666306885,24.954932400771295
25.88139036777415,25.652664807637947,25.89887156609368,25.09194098566231
26.223852246442114,25.798269447179987,25.767201811616033,25.248007027476127
26.88165643059878,25.530475200113276,26.00039354887511,25.516258280702797
27.2837687977178,25.559947698023485,26.350198739647237,25.68580782549873
27.26243802428236,25.932366466442474,26.77872131097745,26.406784485127567
27.40317035388468,26.32662816055681,27.053336021100222,26.686284020507795
27.648035630156745,25.978787568381367,26.93180786993969,26.411336080894557
27.488301433699736,25.797039968124476,26.396730632735625,25.436005484197345
26.916070218636612,25.3615363022256,25.80598445684237,24.44837308890383
26.106290177971935,25.18379980456352,25.78923622125963,24.60612563550965
25.82660494909141,25.215937425427807,25.794332323834226,24.503613902722684
25.339388758664775,25.296537046008186,25.784712731414906,24.640278097953377
24.98609015905252,25.380839797022244,26.00994357159211,24.686063509916384
24.916467795357146,25.624316859972144,26.12151401378252,24.71842695582242
24.85054439005223,25.79525684206465,26.438974244057007,25.194427823095257
24.978645286386804,25.9742929955291,27.19333089259508,25.66259962399506
25.276851864693867,26.450432203310324,28.06118404487786,26.709391850388485
26.027900934358904,26.974892222556328,28.174137052259994,26.875655885336464
26.437072782507077,26.622409104176324,28.15560434366628,26.313836882988895
26.53595840475197,26.316463421150694,27.86174036059984,25.832928748200537
26.50244909996882,26.018114780334724,27.202850450917555,25.263308202880566
26.45271473076539,25.952565628903873,26.901856474088373,24.980746247027824
26.44271585138143,25.905837479531204,26.944758637336626,25.423911450182004
26.288828209705866,26.018858954072762,27.274907979392797,25.5695431666659
25.86589955078902,26.18110328819463,27.332174408721865,25.564956888521582
25.641107535768686,26.214784825059063,27.4286942240712,25.568783992614577
25.718766729275288,26.15433152508587,27.687120099701175,25.62012742145065
26.21227984512346,25.9468831476176,28.433187109920457,26.27319529490082
27.085396428915274,26.60962486505137,28.626973199947273,27.124223130065914
27.258858673123672,26.720896643544922,28.5458352672689,27.568147056737548
27.29289465046244,26.295241726174147,28.184878749902747,27.529392677718374
27.226060090860194,26.023857591935425,27.41216293008042,27.19400118865759
26.814294392726296,25.686424750677386,26.476436537825297,26.771068918283
26.17784932292614,25.360499617497577,26.064536968248206,26.518518662860988
25.826947640099885,25.429506286537105,25.653602971782526,26.993307291137995
25.86140579613913,25.57843928316136,25.725163539285504,27.153484773764305
25.596784088672816,25.516971374789957,26.098345420223232,27.05165324052688
25.60931174369367,25.677212214385037,26.32100481691255,26.92969740140459
26.37603603723125,26.066651035990176,26.745427478043943,26.717353345044554
26.411555858663153,25.9782366544567,27.09918582486288,26.740990745418006
26.89348651073108,26.492965555268714,27.666705424382613,27.43029027503868
